pair_id	concept1	concept2	all_n	all_mean	mturk_n	mturk_mean	scholar_n	scholar_mean	scholar-in_n	scholar-in_mean
9015362791239019102	European history	Irish history	45	4.37777777778	15	4.4	20	4.15	7	4.85714285714
3944340901606541408	plant biology	human physiology	44	2.70454545455	13	2.46153846154	14	2.92857142857	11	3.09090909091
5094230655474045537	telephone	communication	29	4.75862068966	11	5.0	16	4.5625	0	0.0
-4464867404738338203	currency	money	25	4.96	9	5.0	15	4.93333333333	0	0.0
-7030229208280326042	aging	metacognition	38	3.02631578947	12	2.75	17	3.17647058824	6	3.83333333333
5860686687592556137	slavery	environmental history	47	2.57446808511	16	1.8125	19	2.89473684211	9	3.33333333333
6593746319083385451	evolution	human physiology	41	4.0243902439	15	3.6	15	4.53333333333	8	4.0
-6452711487631523729	learning	experimental psychology	46	3.91304347826	15	3.6	19	4.0	9	4.33333333333
-3160362425496736143	sexuality	African history	44	2.29545454545	16	1.625	22	2.40909090909	5	3.8
-8149397794631951085	sustainability	infectious diseases	48	2.58333333333	13	2.07692307692	21	3.14285714286	11	2.0
7276330075773734334	cognitive neuroscience	child development	47	4.0	15	3.86666666667	20	4.2	7	4.28571428571
1330460147888172153	reason	hypertension	32	1.5	9	1.33333333333	23	1.5652173913	0	0.0
-1251410874318920070	cognitive neuroscience	learning	43	4.44186046512	12	4.25	20	4.55	6	4.66666666667
-908812022479887748	FBI	investigation	31	4.54838709677	10	4.8	18	4.38888888889	0	0.0
4525394829163422850	genetics	cell biology	46	4.5652173913	14	4.5	19	4.68421052632	10	4.5
-5311991551793920887	maker	equipment	33	2.42424242424	12	2.58333333333	19	2.47368421053	0	0.0
3878791206020242058	clinic	psychology	29	3.62068965517	8	3.5	18	3.72222222222	0	0.0
-3731209132409189353	problem	challenge	32	4.65625	12	4.83333333333	16	4.5625	0	0.0
171755498390057411	statistics	genomics	42	3.85714285714	11	3.0	19	3.94736842105	9	4.44444444444
6761274835123440790	coast	shore	25	4.92	9	4.77777777778	12	5.0	0	0.0
3618478564049379995	car	train	32	3.78125	11	3.72727272727	19	3.84210526316	0	0.0
5879310155973182620	writing	African American history	51	2.90196078431	15	2.4	24	2.83333333333	8	3.625
50235032616775838	lawyer	law	29	4.89655172414	9	4.88888888889	17	4.94117647059	0	0.0
-4626285404849794913	doctor	personnel	27	2.44444444444	9	2.77777777778	17	2.17647058824	0	0.0
912773510048757921	environmental history	medieval history	53	2.67924528302	16	2.0625	24	2.66666666667	10	3.5
-9082407781799978846	psychology	community psychology	45	4.35555555556	16	4.375	19	4.42105263158	6	4.16666666667
2265257395356704795	South Asia	European history	51	2.6862745098	15	2.13333333333	23	2.69565217391	8	3.5
3950549251330106020	cultural history	modernism	46	3.58695652174	16	3.3125	20	3.55	7	4.14285714286
-4870217662026497882	biological sciences	biochemistry	52	4.48076923077	14	4.42857142857	21	4.52380952381	10	4.5
-6615698840677311832	civil rights movement	European history	48	2.47916666667	16	1.9375	23	2.69565217391	8	2.75
-7933775784244173139	CD	stock	28	3.5	10	3.3	18	3.61111111111	0	0.0
-5454453934914009938	Arafat	Jackson	29	1.58620689655	9	1.66666666667	16	1.5625	0	0.0
-2765597230488288080	immunology	microbiology	47	4.31914893617	15	4.13333333333	18	4.72222222222	10	4.2
-1688488447385597261	sustainability	plant biology	50	3.82	13	3.76923076923	21	4.0	10	3.4
8309738786690977973	physics	proton	23	4.21739130435	8	3.875	12	4.33333333333	0	0.0
-474008742074789705	aging	cognitive neuroscience	49	3.61224489796	13	3.07692307692	24	3.79166666667	7	4.28571428571
-5740328102234677061	health psychology	child development	48	3.45833333333	15	3.06666666667	21	3.71428571429	8	3.25
-7220886027733041476	delay	racism	30	1.46666666667	8	1.125	20	1.65	0	0.0
6615016327730521789	biology	developmental biology	43	4.6976744186	17	4.64705882353	16	4.6875	8	4.75
7174614532684492479	music	project	37	1.97297297297	11	1.90909090909	22	2.0	0	0.0
-5498078210425519932	race	intellectual history	53	2.94339622642	15	2.26666666667	23	2.91304347826	12	3.91666666667
-3638089324389389535	statistics	environmental science	51	3.33333333333	13	2.38461538462	23	3.60869565217	11	3.63636363636
-1589073625933852983	introductory biology	statistics	52	2.76923076923	13	1.84615384615	21	3.09523809524	9	3.22222222222
5046808034453669578	dollar	yen	31	4.45161290323	9	3.88888888889	20	4.75	0	0.0
-5715027673113549615	modern European history	women	51	3.35294117647	16	2.5625	23	3.34782608696	8	4.625
4801222512550673106	psychopathology	neuroscience	45	4.06666666667	16	3.875	18	4.16666666667	8	4.625
456193544459726037	world history	urban history	46	3.97826086957	14	4.07142857143	22	3.95454545455	7	4.42857142857
-305048864425754410	collective memory	women	59	2.71186440678	17	2.17647058824	25	2.6	12	3.91666666667
-6705480289999666311	object	cup	26	3.19230769231	9	3.11111111111	13	3.15384615385	0	0.0
8931202414215758041	plant biology	biological sciences	46	4.58695652174	16	4.1875	17	4.82352941176	11	4.72727272727
-8221032416284278537	women	world history	51	3.6862745098	16	3.3125	24	3.75	9	4.0
2850290181759233246	consciousness	research methods	47	2.1914893617	16	2.0	22	2.36363636364	7	2.14285714286
7158481981848228068	bilingualism	stereotyping	46	2.26086956522	15	1.53333333333	23	2.60869565217	6	3.0
2439274347106811623	minority	peace	29	2.31034482759	10	2.0	16	2.625	0	0.0
7700835761775577832	life	stock	26	1.57692307692	7	1.42857142857	18	1.66666666667	0	0.0
-8504770245870830870	collective memory	sexuality	53	2.1320754717	17	1.88235294118	25	2.04	10	2.7
3834751703352698919	parasitology	biology	52	4.28846153846	14	4.0	25	4.52	9	4.33333333333
-807972145587132691	Latin America	writing	54	2.14814814815	19	1.89473684211	23	2.17391304348	7	2.71428571429
-4097231463349461778	molecular evolution	infectious diseases	48	4.0	11	3.72727272727	22	3.86363636364	12	4.5
3923171551435108591	cognitive psychology	neuroscience	47	4.34042553191	15	4.0	24	4.58333333333	6	4.33333333333
-55929296762422032	psychology	social change	41	3.0243902439	13	2.76923076923	20	3.05	5	3.8
6475304234277228273	record	number	33	3.09090909091	11	2.90909090909	21	3.2380952381	0	0.0
8171313751246534387	social change	community psychology	45	3.64444444444	13	3.30769230769	20	3.65	7	4.28571428571
-4910440149726899978	neuroscience	biology	44	4.13636363636	15	3.93333333333	16	4.0625	10	4.5
6333459774506085111	social psychology	personality	44	4.04545454545	11	4.0	23	4.08695652174	7	4.28571428571
-65480009824593666	sustainability	evolution	48	3.02083333333	15	2.73333333333	16	3.625	11	2.45454545455
5774266032747290837	world history	sustainability	47	2.72340425532	16	2.5	22	2.59090909091	7	3.28571428571
8625581336794291980	artifact	cup	25	2.92	6	3.0	18	3.0	0	0.0
-6718893068437736173	concert	virtuoso	29	4.10344827586	8	3.875	19	4.15789473684	0	0.0
-5644350505691868394	international relations	modern European history	53	4.03773584906	17	3.41176470588	25	4.16	7	4.85714285714
-7099967092567539352	consciousness	positive psychology	40	3.15	15	3.06666666667	15	3.26666666667	7	3.28571428571
-2588680797436704485	plane	car	35	3.54285714286	7	2.71428571429	27	3.74074074074	0	0.0
-3279577336621729506	sustainability	intellectual history	52	2.38461538462	17	2.47058823529	22	2.27272727273	10	2.6
2061813692782101941	modernism	church history	48	2.5625	17	2.29411764706	20	2.65	8	3.0
-440968666894056671	memory	psychophysiology	39	3.4358974359	14	3.14285714286	17	3.41176470588	6	3.83333333333
-8818951446665948381	ecology	animal behavior	45	4.02222222222	13	3.76923076923	15	4.0	11	4.45454545455
5379927991023763748	infectious diseases	evolutionary biology	44	4.02272727273	14	3.35714285714	18	4.33333333333	10	4.5
7952828942390285098	feminism	gender	51	4.54901960784	17	4.64705882353	21	4.2380952381	9	4.88888888889
-6464541444839695573	genetics	immunology	45	3.91111111111	15	3.46666666667	18	4.22222222222	10	4.3
-3709713137045233358	genetics	invasive species	50	2.84	16	2.375	17	3.29411764706	13	2.76923076923
8550023357085496630	assessment	plant biology	48	1.79166666667	14	2.14285714286	21	1.66666666667	9	1.22222222222
-8431092650057701576	cultural history	race	55	4.36363636364	17	4.47058823529	20	4.15	13	4.61538461538
-1459088564373373638	month	five	28	1.21428571429	8	1.375	17	1.11764705882	0	0.0
-7012743350151940292	African history	civil rights movement	54	3.53703703704	16	3.875	25	3.36	10	3.8
2967071216495855539	American studies	women	52	3.44230769231	17	3.11764705882	22	3.36363636364	10	4.2
-4126079295680953829	abnormal psychology	child development	40	3.375	16	3.25	16	3.375	5	3.8
6476917515629677378	earning	investor	30	4.33333333333	12	4.08333333333	16	4.4375	0	0.0
7751453490415207747	money	property	21	3.95238095238	8	3.75	12	4.08333333333	0	0.0
5324792707116286280	health psychology	emotion regulation	42	3.66666666667	12	3.16666666667	20	3.95	8	3.875
-7547373149585805493	experimental psychology	gerontology	41	2.80487804878	12	2.5	21	2.85714285714	6	3.66666666667
8134091899848226638	biology	botany	57	4.15789473684	16	3.375	27	4.59259259259	11	4.09090909091
6396878590307228984	British history	race	51	2.96078431373	18	2.66666666667	24	3.125	6	3.33333333333
7603480661267904338	game	round	31	3.0	9	3.33333333333	18	2.83333333333	0	0.0
7876166002756201299	psychophysiology	linguistics	41	2.70731707317	13	2.46153846154	19	2.68421052632	6	2.83333333333
1540717138317849940	statistics	evolution	47	2.70212765957	15	2.06666666667	18	2.72222222222	9	3.33333333333
7641991622701250395	gardens	writing	51	1.52941176471	17	1.11764705882	24	1.66666666667	7	2.28571428571
4882238431372095802	psychology	cognitive development	46	4.36956521739	16	4.25	20	4.4	7	4.28571428571
-4739284632211237933	psychophysiology	aging	43	3.39534883721	13	2.38461538462	20	4.05	8	3.625
850114281323519329	sustainability	gardens	50	3.8	17	3.58823529412	24	3.95833333333	8	3.875
-5998481424520174238	18th century	cultural history	48	3.72916666667	14	3.57142857143	21	3.71428571429	10	4.1
7312336312894589795	botany	statistics	46	2.32608695652	15	1.6	19	2.31578947368	10	3.1
-8876312536178584220	gender	equality	31	3.77419354839	9	4.0	20	3.55	0	0.0
9181173529429589352	gardens	identity	48	1.64583333333	15	1.13333333333	21	1.52380952381	8	2.75
7622693719754925417	calculation	computation	31	4.54838709677	13	4.46153846154	18	4.61111111111	0	0.0
-2473061260216994329	star	planet	24	4.5	6	4.66666666667	13	4.30769230769	0	0.0
-285936242612562542	colonialism	U.S. History	60	4.43333333333	17	4.52941176471	28	4.42857142857	12	4.41666666667
-3183893079533540497	cup	article	27	1.14814814815	8	1.375	18	1.05555555556	0	0.0
3981006039670407026	size	prominence	32	3.5625	10	3.3	19	3.57894736842	0	0.0
-5837414356391550599	drink	cup	27	4.62962962963	8	4.5	18	4.66666666667	0	0.0
-7396714708792886209	immunology	biochemistry	42	4.28571428571	9	3.77777777778	20	4.35	9	4.55555555556
-45176183771001622	environmental history	African American history	51	2.92156862745	15	1.93333333333	24	3.20833333333	11	3.81818181818
-3639647394730676843	conservation biology	biogeography	43	4.16279069767	10	3.8	17	4.47058823529	11	4.27272727273
1979955279895589765	theater	museum	27	2.77777777778	13	2.84615384615	14	2.71428571429	0	0.0
373106084002035079	memory	aging	47	4.29787234043	14	4.14285714286	21	4.33333333333	8	4.625
-4284226227129492599	biology	C. elegans	31	4.0	7	3.0	10	4.1	10	4.3
-7998933253318057826	parasitology	biological sciences	52	4.38461538462	17	4.11764705882	21	4.47619047619	11	4.54545454545
428772856453982095	psychophysiology	psychology	44	4.02272727273	13	3.76923076923	21	4.28571428571	8	3.875
-6541567881729954067	cognition	gender	47	2.08510638298	15	1.66666666667	20	2.1	8	2.625
-7902909607666773649	cultural history	Irish history	50	3.8	15	4.0	24	3.66666666667	8	3.875
463912253183314324	identity	women	54	3.51851851852	17	2.70588235294	24	3.83333333333	9	4.22222222222
5494105239279267221	recovery	treatment	26	4.26923076923	8	4.625	18	4.11111111111	0	0.0
-3212241422049323626	psychology	depression	27	4.51851851852	7	4.71428571429	18	4.38888888889	0	0.0
-5617163922353774697	gender	personality	52	2.98076923077	17	2.58823529412	23	3.13043478261	8	3.25
-3324469807708597862	molecular evolution	biological sciences	49	4.12244897959	13	3.38461538462	20	4.4	11	4.45454545455
-6231604571436768356	bird	crane	32	4.84375	9	5.0	21	4.7619047619	0	0.0
5632640397410096375	active learning	sustainability	54	1.7962962963	17	1.70588235294	22	1.81818181818	12	1.66666666667
-8252858382582378981	plant ecology	biology	50	4.46	14	4.42857142857	19	4.52631578947	13	4.53846153846
8177113140448635809	cognition	acculturation	37	2.7027027027	8	1.75	17	2.70588235294	6	3.83333333333
-7536672514342687589	history	medieval history	48	4.625	16	4.375	23	4.65217391304	6	5.0
-7974624573443851868	infancy	consciousness	51	2.78431372549	16	2.1875	23	3.04347826087	6	3.5
2649707443653159848	gerontology	personality	44	2.77272727273	15	2.6	19	3.0	9	2.77777777778
-2881427474480527447	energy	consumer	30	3.0	11	2.09090909091	17	3.47058823529	0	0.0
-4508090254291091028	history	popular religion	57	3.17543859649	15	3.13333333333	28	3.03571428571	11	3.63636363636
7896820650083474524	cognition	language	45	4.17777777778	16	3.8125	17	4.41176470588	7	4.71428571429
-1198501141897324111	slavery	sustainability	55	1.81818181818	17	1.47058823529	25	1.8	9	2.22222222222
-369160056450277966	18th century	French history	45	4.06666666667	14	4.0	22	3.77272727273	7	4.85714285714
5729585548965639411	research methods	cognitive neuroscience	39	3.4358974359	12	2.91666666667	16	3.5	6	4.0
4202449741766979739	active learning	physiology	40	2.475	11	2.72727272727	16	2.6875	10	1.9
-391069415065935947	music	community psychology	45	1.8	15	1.46666666667	20	2.1	8	1.75
1341311117740147638	parasitology	introductory biology	52	3.19230769231	17	2.58823529412	20	3.55	10	3.6
-7548593890648926786	investigation	effort	28	2.92857142857	10	2.7	15	2.86666666667	0	0.0
-1549237402639795776	emotion	linguistics	52	2.40384615385	20	2.2	21	2.61904761905	7	2.57142857143
-2880150848201836605	American studies	writing	52	3.03846153846	15	2.73333333333	23	2.95652173913	10	3.8
4360591524945376708	hardware	network	25	3.72	8	2.75	17	4.17647058824	0	0.0
510616318790576070	bilingualism	animal behavior	48	1.45833333333	18	1.33333333333	22	1.54545454545	5	1.6
-5007591876819706421	South Asia	race	52	2.75	16	2.5625	24	2.75	8	3.125
2048793210287149516	consciousness	personality	51	3.58823529412	17	3.70588235294	23	3.60869565217	7	3.28571428571
1536289249813583311	social psychology	cognitive psychology	46	4.0	15	4.06666666667	19	4.10526315789	8	4.0
-1028676112039759406	psychophysiology	abnormal psychology	44	3.63636363636	13	3.46153846154	23	3.60869565217	7	4.0
-1510903733484110173	modernism	medieval history	45	2.37777777778	16	1.625	19	2.78947368421	7	2.57142857143
-5127207056038499880	child development	social psychology	54	3.85185185185	18	3.5	24	4.04166666667	9	4.0
969797788566081087	sustainability	writing	53	1.83018867925	18	1.5	21	1.7619047619	10	2.5
-3131288100229841953	clinical psychology	history of psychology	44	3.72727272727	16	3.8125	19	3.68421052632	7	4.0
2359000015267482081	gardens	South Asia	48	2.125	15	1.8	23	2.08695652174	7	2.71428571429
-1706990829451379631	death	row	34	2.52941176471	10	2.2	21	2.66666666667	0	0.0
1805905094538524156	human physiology	genomics	44	3.68181818182	12	3.41666666667	19	3.84210526316	10	3.8
-9160819892128612374	love	sex	27	4.11111111111	8	4.125	16	4.0	0	0.0
1538939290342211565	writing	women	47	2.87234042553	16	2.4375	18	2.94444444444	9	3.66666666667
4635619212212540398	behavioral ecology	assessment	45	2.15555555556	11	2.18181818182	17	2.17647058824	12	2.08333333333
-3073701825307008527	statistics	bioinformatics	48	4.10416666667	14	3.14285714286	19	4.36842105263	11	4.72727272727
-4209533518256203278	identity	sustainability	56	2.16071428571	17	2.05882352941	24	2.16666666667	12	2.58333333333
5916439448861564915	image	surface	38	2.5	9	2.11111111111	25	2.72	0	0.0
8570176283156848126	identity	slavery	52	3.19230769231	18	2.55555555556	23	3.39130434783	6	4.16666666667
3110571326426363894	sexuality	historical memory	44	2.02272727273	15	1.46666666667	20	2.1	6	3.5
4272999859901196281	evolution	developmental biology	51	4.39215686275	17	4.41176470588	19	4.47368421053	11	4.27272727273
6420032870426421242	cognitive psychology	learning	42	4.54761904762	13	4.53846153846	16	4.75	7	4.42857142857
2269218878152755455	sustainability	digital humanities	45	2.13333333333	12	1.91666666667	24	2.16666666667	7	2.57142857143
-3650098095222027780	hospital	infrastructure	26	2.65384615385	8	2.75	16	2.5	0	0.0
-5218470280568831199	electrophysiology	assessment	43	1.76744186047	16	1.9375	15	1.26666666667	9	2.11111111111
5296597463701901137	developmental psychology	memory	46	3.5652173913	12	3.33333333333	22	3.59090909091	7	3.85714285714
-7236201267991150081	genetics	biochemistry	48	4.02083333333	15	3.6	19	4.47368421053	9	4.11111111111
